epoch,learning_rate,train_joint_loss,train_eval_task_loss,valid_eval_task_loss,train_accuracy,train_macro_f1,train_mae,valid_accuracy,valid_macro_f1,valid_mae
1,0.0002,2.359873152024967,1.301527796744141,1.325556285531694,0.6058910162002945,0.5371239676363632,0.6695026841657908,0.5590659340659341,0.4933661489530112,0.6721267385707635
2,0.0002,1.8096675920556677,1.1335961492654572,1.2108442876776842,0.6621502209131075,0.6236495483612089,0.6461221181753604,0.6195054945054945,0.5899572568926174,0.6580360256395159
3,0.0002,1.6218033463157857,1.1193949222448902,1.2320674674757435,0.6427098674521355,0.6402226281452269,0.68487458487819,0.592032967032967,0.5899781715935459,0.7138766840955493
4,0.0002,1.5176002095830634,1.0150871574830895,1.1667202263931076,0.6509572901325479,0.6330040070803513,0.5752257932550158,0.6071428571428571,0.5984949544660213,0.6342335379571183
5,0.0002,1.4559154340374627,0.9793279029540667,1.2190821017852655,0.6907216494845361,0.680700404177211,0.6266078854261572,0.6167582417582418,0.6099770195392242,0.7065218796942045
6,5e-05,1.3166980785895166,0.9035001855205005,1.1960922588879543,0.7322533136966126,0.6975082356980792,0.5413568406161099,0.6552197802197802,0.6256119688360298,0.6510241318963901
7,5e-05,1.2752875934117673,0.8527841803167936,1.1370290296180388,0.7107511045655376,0.6979472310418307,0.4982569259069503,0.6318681318681318,0.6246099123495097,0.6075752227118426
8,5e-05,1.2429871735411295,0.8217459456007323,1.1512265183786432,0.7319587628865979,0.7157420120418346,0.4865196512466494,0.6373626373626373,0.6261443284538745,0.6116826306946338
9,5e-05,1.2019539390642617,0.800266847387975,1.1709846268002013,0.7493372606774669,0.7264942076408406,0.4801721698708081,0.6483516483516484,0.6302969407991088,0.6204869606411264
10,5e-05,1.1717653984524892,0.7723591541385462,1.1586784783691968,0.7508100147275405,0.7377901346926002,0.4688063532258734,0.6291208791208791,0.6206331257225899,0.6176790398181605
11,5e-05,1.169234083028886,0.7754595152157652,1.1901233060602419,0.7472754050073638,0.7271724596272396,0.4691112948114886,0.6291208791208791,0.6124073506164894,0.6246224751364655
12,5e-05,1.1111884151186262,0.7150918186793777,1.1863450974370906,0.76759941089838,0.7567553549940053,0.446406506685285,0.6277472527472527,0.6197811106507424,0.6233503810772263
