split,n,accuracy,macro_f1,weighted_f1,mae,pearson
train,3395,0.7493372606774669,0.7264942076408406,0.7500328900888504,0.4801721698708081,0.8235323300296199
valid,728,0.6483516483516484,0.6302969407991088,0.6498535964676359,0.6204869606411264,0.6460312763596648
test,727,0.6795048143053645,0.6397879968670895,0.678717927005291,0.6435131418372683,0.677626212665572
