split,label,n,class_accuracy_recall,one_vs_rest_accuracy,class_f1,one_vs_rest_macro_f1,mae_true_class
train,Negative,967,0.8490175801447777,0.8871870397643593,0.8108641975308643,0.8652432215356315,0.572746435698457
train,Neutral,758,0.5844327176781002,0.8061855670103093,0.5738341968911918,0.7242026493415166,0.36302218541375786
train,Positive,1670,0.7664670658682635,0.8053019145802651,0.7947842285004657,0.8047891442306195,0.4797412555972198
valid,Negative,206,0.6844660194174758,0.8076923076923077,0.6682464454976303,0.7664249635611943,0.7988125407317817
valid,Neutral,184,0.5163043478260869,0.7445054945054945,0.5053191489361702,0.666548463356974,0.5022258486424107
valid,Positive,338,0.6982248520710059,0.7445054945054945,0.7173252279635258,0.7421212605983043,0.5761821532715663
test,Negative,207,0.7584541062801933,0.8335625859697386,0.7218390804597701,0.8015476069619754,0.8479542385152392
test,Neutral,158,0.43037974683544306,0.7606602475928473,0.43870967741935485,0.6433058876607264,0.5188002061169548
test,Positive,362,0.7430939226519337,0.7647867950481431,0.7588152327221439,0.764642515689931,0.5810416966203332
