epoch,learning_rate,train_joint_loss,selection_score,valid_clean_accuracy,valid_clean_macro_f1,valid_clean_mae,valid_tav30_missing_accuracy,valid_tav30_missing_macro_f1,valid_tav30_missing_mae
1,0.0002,2.359873152024967,0.4550330277446375,0.5590659340659341,0.4933661489530112,0.6721267385707635,0.5494505494505495,0.48430695469309937,0.6760704815683561
2,0.0002,1.8096675920556677,0.5529150358685095,0.6195054945054945,0.5899572568926174,0.6580360256395159,0.6126373626373627,0.5864688581921946,0.7059604334779299
3,0.0002,1.6218033463157857,0.5438018814887057,0.592032967032967,0.5899781715935459,0.7138766840955493,0.5673076923076923,0.5677071639136598,0.700815725297946
4,0.0002,1.5176002095830634,0.5680129598374021,0.6071428571428571,0.5984949544660213,0.6342335379571183,0.6057692307692307,0.6002045598999106,0.6267359469112797
5,0.0002,1.4559154340374627,0.5571601416707845,0.6167582417582418,0.6099770195392242,0.7065218796942045,0.5865384615384616,0.5781762654125434,0.7383300161019868
6,5e-05,1.3166980785895166,0.5894482625258899,0.6552197802197802,0.6256119688360298,0.6510241318963901,0.6442307692307693,0.6179814886872199,0.6469693247146986
7,5e-05,1.2752875934117673,0.5906674387518358,0.6318681318681318,0.6246099123495097,0.6075752227118426,0.6208791208791209,0.6172090247804393,0.604840596262775
8,5e-05,1.2429871735411295,0.5967310657317318,0.6373626373626373,0.6261443284538745,0.6116826306946338,0.6387362637362637,0.6283847226684339,0.6106691965884478
9,5e-05,1.2019539390642617,0.6011564045463327,0.6483516483516484,0.6302969407991088,0.6204869606411264,0.6497252747252747,0.634008355347239,0.6199248705368239
10,5e-05,1.1717653984524892,0.5925677419310001,0.6291208791208791,0.6206331257225899,0.6176790398181605,0.6346153846153846,0.6263542454018644,0.6185188726245382
11,5e-05,1.169234083028886,0.5829237265077342,0.6291208791208791,0.6124073506164894,0.6246224751364655,0.6304945054945055,0.6153400490748425,0.6189994667586359
12,5e-05,1.1111884151186262,0.5913617223760562,0.6277472527472527,0.6197811106507424,0.6233503810772263,0.6332417582417582,0.6254165656486079,0.6247423154723787
