seed,epoch,learning_rate,train_joint_loss,train_eval_task_loss,valid_eval_task_loss,train_accuracy,train_macro_f1,train_mae,valid_accuracy,valid_macro_f1,valid_mae
2026,1,0.0002,2.148598805021643,1.2482394726040396,1.2694745433684274,0.5460972017673048,0.5435037516797062,0.6511875298715352,0.5082417582417582,0.5115102534731973,0.6510010705656336
2026,2,0.0002,1.7084449343196773,1.1378793013031145,1.2361598555274567,0.6477172312223859,0.631598065895773,0.6524957585311392,0.5796703296703297,0.5652443432894745,0.6812734097283293
2026,3,0.0002,1.569211395569859,1.0170695609359677,1.1519276870979878,0.6674521354933726,0.6436516654082731,0.5598413466932307,0.6153846153846154,0.5975275562464805,0.6057764379938317
2026,4,0.0002,1.47846814859247,1.0187896861261039,1.1995545209975598,0.682179675994109,0.6698483081280701,0.6219087984063834,0.6071428571428571,0.6001710386504101,0.673435017004082
2026,5,0.0002,1.4038462064052015,0.9370622612908277,1.1694667152729303,0.6703976435935198,0.6568337701818739,0.5350601619485675,0.5934065934065934,0.5892345352379291,0.6196811452455522
2026,6,5e-05,1.2733134111002724,0.8968672259099352,1.1945916574820794,0.7201767304860088,0.6995758978267773,0.5404308684052631,0.6277472527472527,0.6119702508613983,0.6434067832264451
2026,7,5e-05,1.2446672725396584,0.8354607786526762,1.172222290785459,0.7175257731958763,0.7060931848334427,0.47839275943053633,0.6195054945054945,0.6128383400241239,0.6177883754777952
2026,8,5e-05,1.2179169810924333,0.828650158467922,1.1887075925961335,0.7195876288659794,0.7071006283883209,0.4828686702941971,0.6112637362637363,0.6044827506096809,0.62942206135351
2026,9,5e-05,1.199663503935481,0.7928973622174056,1.1907407377527015,0.7407952871870398,0.7265671920894056,0.46117574440754966,0.6222527472527473,0.6126261883240808,0.6259613758785225
2026,10,5e-05,1.1537130952056975,0.772038135134255,1.1990103031904122,0.7499263622974963,0.7360224501188957,0.4582501788343823,0.6208791208791209,0.6115379469343846,0.6313811631420382
2026,11,5e-05,1.1288097704106472,0.7480287744689658,1.2125652877820112,0.7590574374079528,0.7446155721823491,0.45167021253485706,0.6222527472527473,0.6128436232537179,0.6395976795054714
2027,1,0.0002,2.297813573677164,,,,,,0.5467032967032966,0.521179251477903,0.6414288139750459
2027,2,0.0002,1.7755551055183467,,,,,,0.6195054945054945,0.5733720870549356,0.6445672533901505
2027,3,0.0002,1.6099497082307166,,,,,,0.6387362637362637,0.6085940027103843,0.6676794584324982
2027,4,0.0002,1.5113711956147768,,,,,,0.635989010989011,0.5820901566424879,0.6174624752481007
2027,5,0.0002,1.4374617089930268,,,,,,0.5521978021978022,0.5596508563899869,0.5984974772004784
2027,6,5e-05,1.314252549664437,,,,,,0.625,0.6155947040381003,0.6068329863156867
2027,7,5e-05,1.273927697025799,,,,,,0.6208791208791209,0.6150776231765497,0.6034430953988084
2027,8,5e-05,1.2438368186332691,,,,,,0.6291208791208791,0.6211718397818605,0.6112124233466323
2027,9,5e-05,1.2097824364417782,,,,,,0.6195054945054945,0.6123216070033574,0.6260267215730382
2027,10,5e-05,1.185771522922263,,,,,,0.6277472527472527,0.6118717397720076,0.6397172948076891
2027,11,5e-05,1.1530577888896083,,,,,,0.6236263736263736,0.6169694187901041,0.6347821208425787
2027,12,5e-05,1.1242580648023355,,,,,,0.614010989010989,0.6066713216283103,0.6316363818073264
2028,1,0.0002,2.1526785483592037,,,,,,0.5769230769230769,0.549237251291494,0.6801173085887957
2028,2,0.0002,1.7343823009457258,,,,,,0.5618131868131868,0.5507048674714325,0.7825180662036003
2028,3,0.0002,1.5569054289664717,,,,,,0.6456043956043956,0.6013991341212551,0.670916061918763
2028,4,0.0002,1.456086318412129,,,,,,0.6401098901098901,0.6238911527458435,0.6035566535553828
2028,5,0.0002,1.4146334290416673,,,,,,0.6414835164835165,0.6098461556151095,0.6719501037659139
2028,6,5e-05,1.2856931585275373,,,,,,0.6304945054945055,0.6183667526073039,0.6142089364568544
2028,7,5e-05,1.2311764606144362,,,,,,0.6387362637362637,0.6131843022020623,0.6300770765602854
2028,8,5e-05,1.1988699241660656,,,,,,0.6318681318681318,0.6187465234813999,0.6263966650393751
2028,9,5e-05,1.1708658486473016,,,,,,0.6304945054945055,0.6077300986913613,0.622721049030328
2028,10,5e-05,1.1535932902910573,,,,,,0.6181318681318682,0.6038174048074793,0.6535833949158557
