split,n,accuracy,macro_f1,weighted_f1,mae,pearson
train,3395,0.7125184094256259,0.705229599004745,0.722633726845293,0.4995115322604726,0.8136163874708864
valid,728,0.614010989010989,0.6138286349931209,0.6229491506122752,0.6138923002994149,0.6481843650294491
test,727,0.656121045392022,0.6408256526337514,0.669000311647452,0.6305084791165128,0.6903050952273009
