epoch,train_loss,train_accuracy,train_macro_f1,train_mae,valid_complete_accuracy,valid_complete_macro_f1,valid_complete_mae,valid_missing_30pct_accuracy,valid_missing_30pct_macro_f1,valid_missing_30pct_mae
1,2.1778764821643857,0.5782032400589102,0.5629746389440801,0.6748823490807175,0.5192307692307693,0.5138218882874094,0.6754972701038331,0.510989010989011,0.5100447035698519,0.6861174904172382
2,1.7185451073569296,0.6506627393225332,0.6379881305175896,0.6453817068479835,0.5947802197802198,0.5888673714211814,0.6755833899580546,0.5576923076923077,0.5594133929884474,0.65312126752726
3,1.5144138234353381,0.7089837997054492,0.6631812463148078,0.5756476484381748,0.614010989010989,0.573419283194026,0.6295118101950541,0.6112637362637363,0.5773427312379154,0.6263364210670781
4,1.4326387716849527,0.6659793814432989,0.6626742696762413,0.5679085559772317,0.5810439560439561,0.5819599287248045,0.657723447904413,0.5425824175824175,0.5454903342104718,0.6690203323816384
5,1.343999807227167,0.7125184094256259,0.705229599004745,0.4995115322604726,0.614010989010989,0.6138286349931209,0.6138923002994149,0.6126373626373627,0.6103741029580741,0.6115719621977385
6,1.2398387796924462,0.7681885125184095,0.7506187867949826,0.5714631178986901,0.6153846153846154,0.6050980223168515,0.7138899606626972,0.6153846153846154,0.6055345091761463,0.7142453957105998
7,1.1616595383420785,0.8029455081001473,0.7841655161595128,0.6521688985428464,0.6112637362637363,0.5923875863186883,0.7811104758043906,0.5975274725274725,0.5696707668255024,0.7843090958866434
8,1.0579994957471632,0.8480117820324006,0.8354145229784925,0.4015610610097523,0.6222527472527473,0.6068443313150013,0.6189423070000075,0.6126373626373627,0.5967521951034497,0.6173283894275121
9,0.9175349326828969,0.8612665684830634,0.8479488395045459,0.5844861454561844,0.5961538461538461,0.5706389312060719,0.7834705586678216,0.5769230769230769,0.5479015582020805,0.8539260589315525
