split,label,n,class_accuracy_recall,one_vs_rest_accuracy,class_f1,one_vs_rest_macro_f1,mae_true_class
train,Negative,967,0.7931747673216132,0.8768777614138439,0.7858606557377049,0.8497306585840241,0.5540580632850806
train,Neutral,758,0.7308707124010554,0.7620029455081001,0.5782881002087683,0.7062552524022914,0.35789572056364466
train,Positive,1670,0.6574850299401198,0.7861561119293078,0.7515400410677618,0.781923071206063,0.5322051189463407
valid,Negative,206,0.6553398058252428,0.8145604395604396,0.6666666666666666,0.7691087852838566,0.7229249179453671
valid,Neutral,184,0.6739130434782609,0.6923076923076923,0.5254237288135594,0.6488907261953976,0.4457938222622033
valid,Positive,338,0.5562130177514792,0.7211538461538461,0.6493955094991365,0.708962292947972,0.6389496988904823
test,Negative,207,0.7294685990338164,0.8404401650618982,0.722488038277512,0.8052594631542,0.7582685029458093
test,Neutral,158,0.5949367088607594,0.7180192572214581,0.47837150127226463,0.6425787760838232,0.4731642458708721
test,Positive,362,0.6408839779005525,0.7537826685006878,0.7216174183514774,0.7504511259451592,0.6261274402218907
