seed,epoch,learning_rate,train_joint_loss,train_eval_task_loss,valid_eval_task_loss,train_accuracy,train_macro_f1,train_mae,valid_accuracy,valid_macro_f1,valid_mae
2026,1,0.0002,2.256813013571176,1.2993408210195467,1.3233984205523202,0.5605301914580265,0.550377902433115,0.6871574672790098,0.5151098901098901,0.5135066863948602,0.6826337463120741
2026,2,0.0002,1.800773983991901,1.1061404611512382,1.1798784617415436,0.6409425625920472,0.6203282854691156,0.613969222132277,0.5824175824175825,0.5733633636781117,0.6250708667538385
2026,3,0.0002,1.5775854206401223,1.040527803578366,1.2118909034772936,0.6977908689248895,0.6228753818945206,0.5755013443741177,0.614010989010989,0.5500126505498754,0.6249098029930482
2026,4,0.0002,1.4825161991484561,0.9513122210787794,1.1716105455960446,0.6774668630338734,0.6667371269646782,0.5558040955134795,0.5947802197802198,0.5900207025561527,0.6221482670810944
2026,5,0.0002,1.3851517902031563,0.8772112117193189,1.1466420479476795,0.6966126656848306,0.6904159410874545,0.5231446499159952,0.6112637362637363,0.6124427838755734,0.6162843509392677
2026,6,5e-05,1.2459795513630616,0.8276346442377712,1.1399776473846448,0.7213549337260677,0.7137953268676115,0.48801532883690163,0.6181318681318682,0.6165918718079055,0.6063725726473002
2026,7,5e-05,1.2071875376975238,0.7917758711143307,1.1492065020707272,0.7402061855670103,0.7288394101246917,0.47328506352898386,0.6236263736263736,0.6196268358298019,0.6074349964838692
2026,8,5e-05,1.163804753820394,0.7565435118450105,1.1790625059696533,0.7558173784977908,0.7442072827301586,0.4623112032623394,0.6222527472527473,0.6151451116118037,0.6178464909991797
2026,9,5e-05,1.1249225269536733,0.7435840267377055,1.1961922696662168,0.7637702503681885,0.7498444276663486,0.4682625730008995,0.6318681318681318,0.6238958480016299,0.6242781844040299
2026,10,5e-05,1.1045277592535399,0.7001898064750764,1.1940644815322772,0.7817378497790869,0.769971930312915,0.43873731827758394,0.6222527472527473,0.6131848699824448,0.6183813876833173
2026,11,5e-05,1.0732890151561798,0.735095965242162,1.2501236250863115,0.7646539027982326,0.742383602377149,0.47643002365566295,0.614010989010989,0.596522535553626,0.6415178489920575
2027,1,0.0002,2.2767731709403036,,,,,,0.5576923076923077,0.4333000567913044,0.6800082523331294
2027,2,0.0002,1.77536471014697,,,,,,0.6016483516483516,0.5559955352728198,0.6890263876181791
2027,3,0.0002,1.5884121513507152,,,,,,0.6263736263736264,0.6160837561540093,0.6273235638925273
2027,4,0.0002,1.5037532782343948,,,,,,0.6236263736263736,0.6120809546316973,0.7046852455881251
2027,5,0.0002,1.390675813811166,,,,,,0.6208791208791209,0.6053939002112231,0.6289497256562994
2027,6,5e-05,1.2608758746436488,,,,,,0.6263736263736264,0.6152871446868997,0.6088830383122223
2027,7,5e-05,1.2141850577362858,,,,,,0.6318681318681318,0.6192753922119135,0.6281681309059483
2027,8,5e-05,1.1837519810722925,,,,,,0.6071428571428571,0.606482116858402,0.6077048095933976
2027,9,5e-05,1.1418021691916442,,,,,,0.635989010989011,0.6248341578417514,0.6184502965988141
2027,10,5e-05,1.1165742066542073,,,,,,0.6195054945054945,0.6116129222184186,0.6243476543447917
2028,1,0.0002,2.359873152024967,,,,,,0.5590659340659341,0.4933661489530112,0.6721267385707635
2028,2,0.0002,1.8096675920556677,,,,,,0.6195054945054945,0.5899572568926174,0.6580360256395159
2028,3,0.0002,1.6218033463157857,,,,,,0.592032967032967,0.5899781715935459,0.7138766840955493
2028,4,0.0002,1.5176002095830634,,,,,,0.6071428571428571,0.5984949544660213,0.6342335379571183
2028,5,0.0002,1.4559154340374627,,,,,,0.6167582417582418,0.6099770195392242,0.7065218796942045
2028,6,5e-05,1.3166980785895166,,,,,,0.6552197802197802,0.6256119688360298,0.6510241318963901
2028,7,5e-05,1.2752875934117673,,,,,,0.6318681318681318,0.6246099123495097,0.6075752227118426
2028,8,5e-05,1.2429871735411295,,,,,,0.6373626373626373,0.6261443284538745,0.6116826306946338
2028,9,5e-05,1.2019539390642617,,,,,,0.6483516483516484,0.6302969407991088,0.6204869606411264
2028,10,5e-05,1.1717653984524892,,,,,,0.6291208791208791,0.6206331257225899,0.6176790398181605
2028,11,5e-05,1.169234083028886,,,,,,0.6291208791208791,0.6124073506164894,0.6246224751364655
2028,12,5e-05,1.1111884151186262,,,,,,0.6277472527472527,0.6197811106507424,0.6233503810772263
