seed,epoch,learning_rate,train_joint_loss,train_eval_task_loss_raw,valid_eval_task_loss_raw,valid_eval_task_loss_ema,train_raw_accuracy,train_raw_macro_f1,train_raw_mae,valid_raw_accuracy,valid_raw_macro_f1,valid_raw_mae,train_ema_accuracy,train_ema_macro_f1,train_ema_mae,valid_ema_accuracy,valid_ema_macro_f1,valid_ema_mae
2026,1,0.0002,2.1778764821643857,1.2639717320953607,1.296973242524248,,0.5782032400589102,0.5629746389440801,0.6748823490807175,0.5192307692307693,0.5138218882874094,0.6754972701038331,,,,,,
2026,2,0.0002,1.7185451073569296,1.0897582059281052,1.1986611936832197,,0.6506627393225332,0.6379881305175896,0.6453817068479835,0.5947802197802198,0.5888673714211814,0.6755833899580546,,,,,,
2026,3,0.0002,1.5144138234353381,1.006608680706531,1.201437995538144,,0.7089837997054492,0.6631812463148078,0.5756476484381748,0.614010989010989,0.573419283194026,0.6295118101950541,,,,,,
2026,4,0.0002,1.4326387716849527,0.9489478289407124,1.2077270192346268,,0.6659793814432989,0.6626742696762413,0.5679085559772317,0.5810439560439561,0.5819599287248045,0.657723447904413,,,,,,
2026,5,0.0002,1.343999807227167,0.839872339947368,1.1495370660952182,1.1495370660952182,0.7125184094256259,0.705229599004745,0.4995115322604726,0.614010989010989,0.6138286349931209,0.6138923002994149,0.7125184094256259,0.705229599004745,0.4995115322604726,0.614010989010989,0.6138286349931209,0.6138923002994149
2026,6,5e-05,1.1855238594257427,0.7904580052810466,1.1508466773067942,1.1491189690188568,0.7245949926362297,0.7185129421036643,0.46684757539994237,0.6181318681318682,0.6175330657433792,0.6086428383580194,0.724300441826215,0.7143018355965793,0.4864140596991715,0.625,0.6226036407924952,0.6104224502834348
2026,7,5e-05,1.1384528802666642,0.7490458647441275,1.1752947063094188,1.1546257158671684,0.7622974963181148,0.7518477405283047,0.46147535075817603,0.6195054945054945,0.6148359436309708,0.6261750384570345,0.7357879234167894,0.7245974698250216,0.4702794026272421,0.6222527472527473,0.6176495951363835,0.6094622427156607
2026,8,5e-05,1.0977047353324554,0.7061745692864505,1.193315487234427,1.1659328589465967,0.7702503681885126,0.7597331286401054,0.4356357754204376,0.6346153846153846,0.6284801864201365,0.6241322906398736,0.7505154639175258,0.7384194089198629,0.45690629105786595,0.6263736263736264,0.620594262415283,0.6125779799025782
2026,9,5e-05,1.0554772586991052,0.6784502801167726,1.2143173499366338,1.1787745987475178,0.7852724594992636,0.7742342583244666,0.43370837648563765,0.635989010989011,0.6297840606108603,0.6278636055553312,0.7655375552282768,0.7539862496023583,0.44320781692644423,0.6263736263736264,0.6194320957987905,0.6157337373190055
2026,10,5e-05,1.018540428102631,0.6380317134038553,1.2212162220509635,1.196938438276988,0.8017673048600884,0.7919558515391977,0.41190670358770787,0.625,0.6184671201086857,0.630798534241986,0.7799705449189985,0.768984559475297,0.4304541964252618,0.6304945054945055,0.6232719935132057,0.6228509766134755
2026,11,5e-05,0.9838269770584331,0.6674433857796065,1.2927045338686143,1.21663914267737,0.7846833578792342,0.7648523303419132,0.4449922820335441,0.6153846153846154,0.5960589837229551,0.6506382679108755,0.7973490427098675,0.7861933703562544,0.41698058349881406,0.6236263736263736,0.6156960448922347,0.6294273722431991
2026,12,5e-05,0.9284391154421271,0.5608821821236885,1.2792391258037763,1.2406326556933305,0.8312223858615612,0.819013594900667,0.39492361347975596,0.6208791208791209,0.6080577732046787,0.6429438054392749,0.8103092783505155,0.799034358905895,0.40556363095299636,0.6195054945054945,0.6095526700167353,0.6356325580330392
2027,1,0.0002,2.190872995140626,,,,,,,0.5494505494505495,0.4265773921996012,0.6626866776035628,,,,,,
2027,2,0.0002,1.739082525703447,,,,,,,0.6126373626373627,0.5719722014950508,0.7071703398940192,,,,,,
2027,3,0.0002,1.5570465415847845,,,,,,,0.625,0.6081578469403367,0.6490720212008615,,,,,,
2027,4,0.0002,1.4667589617231984,,,,,,,0.5961538461538461,0.5931833262041121,0.6032805303636181,,,,,,
2027,5,0.0002,1.362340346158692,,,,,,,0.6208791208791209,0.6047905971884492,0.6286294426926371,,,,0.6208791208791209,0.6047905971884492,0.6286294426926371
2027,6,5e-05,1.208619944301375,,,,,,,0.625,0.6115204194064051,0.6351694738854409,,,,0.6208791208791209,0.6058635946411862,0.6211164298558167
2027,7,5e-05,1.163467702791863,,,,,,,0.6318681318681318,0.6182210840848607,0.6501922346597184,,,,0.6208791208791209,0.6058782725774837,0.6180468948064167
2027,8,5e-05,1.124763670006276,,,,,,,0.6085164835164835,0.604900597640234,0.6226810094187866,,,,0.6263736263736264,0.6135403903985368,0.6194230489551785
2027,9,5e-05,1.0786968089695006,,,,,,,0.6208791208791209,0.608758750709215,0.6340872015814286,,,,0.6236263736263736,0.6122387395972302,0.621207455205117
2027,10,5e-05,1.0373565251065284,,,,,,,0.6071428571428571,0.5993507183028551,0.636193836865829,,,,0.6263736263736264,0.6148335914338694,0.6246886534047387
2027,11,5e-05,0.9910991915546917,,,,,,,0.6071428571428571,0.5950300623034526,0.6418896192474647,,,,0.6195054945054945,0.6081139486714565,0.6281265112776744
