split,label,n,class_accuracy_recall,one_vs_rest_accuracy,class_f1,one_vs_rest_macro_f1,mae_true_class
train,Negative,967,0.8728024819027922,0.9051546391752577,0.8398009950248756,0.886218489144237,0.4741765771334704
train,Neutral,758,0.762532981530343,0.8282768777614139,0.6647498562392179,0.7746635838313491,0.28851838934691104
train,Positive,1670,0.7449101796407186,0.8371134020618557,0.8181519237093061,0.8353229610544397,0.47617619697947033
valid,Negative,206,0.6796116504854369,0.8159340659340659,0.6763285024154589,0.7738648270234685,0.762355927707971
valid,Neutral,184,0.6195652173913043,0.7197802197802198,0.5277777777777778,0.6642795138888888,0.438465017106627
valid,Positive,338,0.6183431952662722,0.7362637362637363,0.6852459016393443,0.7291477735147076,0.6489994691976914
