modality,target_missing_ratio,actual_missing_ratio,n_seeds,accuracy_mean,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,delta_macro_f1,delta_mae
V,0.3,0.29104788716022784,5,0.6247252747252747,0.6184496831410488,0.001159280475811545,0.6274643364482672,0.0010308246643216923,-0.011334377469811585,-0.0003992691070640042
V,0.4,0.3858652260195423,5,0.6274725274725275,0.6207620637689307,0.002283373019791893,0.6275367871206062,0.0012760851960104882,-0.009021996841929614,-0.0003268184347249292
V,0.5,0.48368138516997244,5,0.6315934065934066,0.6245017011123172,0.0016410120482696084,0.6283856582013918,0.0010946798092280098,-0.0052823594985431654,0.0005220526460606445
TA,0.1,0.09910024865274573,5,0.625,0.6192626411178062,0.006674733583597079,0.6294073948758503,0.0030063459081631667,-0.010521419493054185,0.0015437893205191289
TA,0.2,0.18949097313068725,5,0.6184065934065934,0.613047310546974,0.007860024229386078,0.6283752122729541,0.005200433716181701,-0.016736750063886308,0.0005116067176229588
TA,0.3,0.2831221337297133,5,0.6096153846153847,0.6053880275985529,0.00857630113037859,0.6306703460069212,0.007838992878259976,-0.024396033012307416,0.0028067404515900174
TA,0.4,0.3761118123573916,5,0.5991758241758243,0.5953917107802968,0.010252095803871139,0.6363315658685739,0.007942063651283481,-0.034392349830563496,0.008467960313242706
TA,0.5,0.47121116826003717,5,0.5936813186813187,0.5909733863455244,0.00941863546495051,0.6418944324910446,0.006767125757804336,-0.03881067426533591,0.014030826935713447
TV,0.1,0.09917333758958094,5,0.6263736263736264,0.6196528771039512,0.003943064676668785,0.6300453562369113,0.0019006385444521106,-0.010131183506909114,0.002181750681580108
TV,0.2,0.18928332928731872,5,0.6184065934065934,0.6113106764552506,0.007714099967412719,0.6302783345964809,0.002284431215671681,-0.01847338415560973,0.002414729041149699
TV,0.3,0.2822546521304073,5,0.6126373626373627,0.6063462950919007,0.008139462971166052,0.6287729679376902,0.0013475628092031596,-0.023437765518959597,0.000909362382359058
