epoch,learning_rate,train_joint_loss,train_eval_task_loss,valid_eval_task_loss,train_accuracy,train_macro_f1,train_mae,valid_accuracy,valid_macro_f1,valid_mae,valid_missing_30pct_accuracy,valid_missing_30pct_macro_f1,valid_missing_30pct_mae
1,0.0002,2.1778764821643857,1.2639717320953607,1.296973242524248,0.5782032400589102,0.5629746389440801,0.6748823490807175,0.5192307692307693,0.5138218882874094,0.6754972701038331,0.510989010989011,0.5100447035698519,0.6861174904172382
2,0.0002,1.7185451073569296,1.0897582059281052,1.1986611936832197,0.6506627393225332,0.6379881305175896,0.6453817068479835,0.5947802197802198,0.5888673714211814,0.6755833899580546,0.5576923076923077,0.5594133929884474,0.65312126752726
3,0.0002,1.5144138234353381,1.006608680706531,1.201437995538144,0.7089837997054492,0.6631812463148078,0.5756476484381748,0.614010989010989,0.573419283194026,0.6295118101950541,0.6112637362637363,0.5773427312379154,0.6263364210670781
4,0.0002,1.4326387716849527,0.9489478289407124,1.2077270192346268,0.6659793814432989,0.6626742696762413,0.5679085559772317,0.5810439560439561,0.5819599287248045,0.657723447904413,0.5425824175824175,0.5454903342104718,0.6690203323816384
5,0.0002,1.343999807227167,0.839872339947368,1.1495370660952182,0.7125184094256259,0.705229599004745,0.4995115322604726,0.614010989010989,0.6138286349931209,0.6138923002994149,0.6126373626373627,0.6103741029580741,0.6115719621977385
6,5e-05,1.1855238594257427,0.7904580052810466,1.1508466773067942,0.7245949926362297,0.7185129421036643,0.46684757539994237,0.6181318681318682,0.6175330657433792,0.6086428383580194,0.6126373626373627,0.6128073053853047,0.6079243409388525
7,5e-05,1.1384528802666642,0.7490458647441275,1.1752947063094188,0.7622974963181148,0.7518477405283047,0.46147535075817603,0.6195054945054945,0.6148359436309708,0.6261750384570345,0.614010989010989,0.610345446567595,0.6291589067204968
8,5e-05,1.0977047353324554,0.7061745692864505,1.193315487234427,0.7702503681885126,0.7597331286401054,0.4356357754204376,0.6346153846153846,0.6284801864201365,0.6241322906398736,0.6195054945054945,0.6130365054226891,0.6276266717794607
9,5e-05,1.0554772586991052,0.6784502801167726,1.2143173499366338,0.7852724594992636,0.7742342583244666,0.43370837648563765,0.635989010989011,0.6297840606108603,0.6278636055553312,0.6181318681318682,0.6125196690317373,0.6315325312369189
10,5e-05,1.018540428102631,0.6380317134038553,1.2212162220509635,0.8017673048600884,0.7919558515391977,0.41190670358770787,0.625,0.6184671201086857,0.630798534241986,0.6126373626373627,0.6068528789445676,0.634620600465396
11,5e-05,0.9838269770584331,0.6674433857796065,1.2927045338686143,0.7846833578792342,0.7648523303419132,0.4449922820335441,0.6153846153846154,0.5960589837229551,0.6506382679108755,0.6112637362637363,0.5978328706140709,0.6541000795131677
12,5e-05,0.9284391154421271,0.5608821821236885,1.2792391258037763,0.8312223858615612,0.819013594900667,0.39492361347975596,0.6208791208791209,0.6080577732046787,0.6429438054392749,0.614010989010989,0.6043730365251871,0.6483150866300963
