variant,best_epoch,valid_accuracy,valid_macro_f1,valid_mae,missing_30pct_macro_f1,missing_30pct_mae
none,5,0.6153846153846154,0.6133709255542446,0.6106104551381777,0.5940976344942124,0.6130133243754204
no_block,2,0.6222527472527473,0.6044157820418917,0.7306137932218217,0.5801138552534022,0.6543650470375324
no_reconstruction,5,0.6208791208791209,0.6168458511227244,0.6034693022877116,0.6059480338866013,0.6087613854522735
fixed_gate,5,0.614010989010989,0.6138286349931209,0.6138923002994149,0.6103741029580741,0.6115719621977385
no_consistency,6,0.6222527472527473,0.6078690934431004,0.706221117441041,0.5982464206061201,0.706565832220284
